"record","vowel","f1","f2","d_f1","d_f2","std_f1","std_f2","intensity"
"27356","a","598.4256507250194","1507.2417751627522","51.57434927498059","207.24177516275222","71.9360970338398","26.026236382969973","60.41479790327407"
"27356","e","457.18750907412374","1812.2737304903317","7.187509074123739","12.273730490331673","20.415022680725766","47.50447876957845","68.81813292239555"
"27356","e","424.72240851300467","1899.9913834696276","25.277591486995334","99.99138346962764","28.850101744252775","30.018467931928825","53.32508594715735"
"27358","o","517.1625391330225","1150.4804082382443","67.1625391330225","150.4804082382443","23.861897647794404","96.34520881131164","56.968539484459775"
"27361","a","647.1960656692384","1294.4729601333113","2.803934330761649","5.52703986668871","36.83930017368133","80.33940860026756","74.16781172370824"
"27361","e","491.01092701781056","1544.007585330073","41.01092701781056","255.99241466992703","48.52669735255844","186.47732682377503","78.80558129633283"
"27361","a","nan","nan","nan","nan","nan","nan","nan"
"27364","a","542.0177000595564","1137.2554984442188","107.98229994044357","162.7445015557812","92.0729496652079","90.32496326323772","69.64970520260961"
"27364","a","439.52208029200307","1272.6460030657274","210.47791970799693","27.353996934272573","90.98411271462363","77.9797236708373","59.341518686888044"
"27365","a","673.8503780158911","1464.0880000690022","23.850378015891124","164.0880000690022","64.50723516833679","107.67840576637585","69.94711766908061"
"27365","i","393.607933239621","2278.062784182244","93.60793323962099","78.06278418224383","60.30832306880921","151.9786339952524","70.17915986597325"
"27365","o","nan","nan","nan","nan","nan","nan","nan"
"27387","o","479.9751630935636","1077.2706069594888","29.975163093563594","77.27060695948876","36.72203480852732","260.7130201971085","82.60020628565"
"27387","o","nan","nan","nan","nan","nan","nan","nan"
"28102","i","465.42005371195575","1357.7105219960579","165.42005371195575","842.2894780039421","52.807362865296156","60.94665425709207","73.67953388503001"
"28102","e","703.968171036688","1496.0877706046952","253.96817103668798","303.91222939530485","53.91962605793145","65.96821032570978","76.5502947269541"
"28102","o","468.8105271997601","1252.0930367000674","18.810527199760088","252.0930367000674","246.9941895514803","268.8856444076093","64.09093951613427"
"28728","o","616.3300239426792","1124.4637909839419","166.3300239426792","124.46379098394186","29.26075072042999","212.71868942566567","78.587348309762"
"28728","i","462.8782130981355","1772.350541870692","162.87821309813552","427.64945812930796","24.30180490270943","197.1756489933117","73.95205855829367"
"28728","o","480.68523584465066","1078.7563305332837","30.685235844650663","78.75633053328374","86.21923598446449","180.34747143933447","68.32521862347024"
"29420","e","446.0266374617532","2106.2903761775483","3.9733625382468176","306.2903761775483","50.233796898952946","88.91685403264559","77.34122209632734"
"29420","e","728.8687249821738","2298.7845291549193","278.86872498217383","498.78452915491926","667.5814699287658","223.21991144413545","72.76425196105085"
"29809","i","413.7681199278859","1450.2815402299775","113.76811992788589","749.7184597700225","33.94161947593455","177.76489080658249","65.39884550089792"
"29809","o","538.010482364539","871.8156521854029","88.01048236453903","128.18434781459712","83.63841749280076","59.84167120444547","65.50645531676709"
"29809","a","671.6821191411973","1357.4779084350619","21.68211914119729","57.47790843506186","38.05292869099347","37.26674621191581","72.27094313937046"
"29809","a","643.2733304236846","1319.607841168881","6.72666957631543","19.607841168880896","52.6886136779807","60.69249594877235","69.00683722256855"
"28699","e","590.5836543066698","1382.300077215248","140.5836543066698","417.69992278475206","91.70309719444757","117.51741515386838","67.6333959717226"
"28699","u","467.9566703231749","1276.9997204896","167.95667032317488","276.9997204895999","15.025512552567426","60.25648022226158","74.34555275315819"
"28699","i","511.3814826820179","1369.2206223938686","211.38148268201792","830.7793776061314","76.82735406618016","91.34420127914903","74.67012357391168"
"28699","a","734.713717571671","1469.8291502249688","84.71371757167105","169.82915022496877","45.13030445745553","61.525090899905535","77.20059433147804"
"28699","e","492.45995429839957","1171.4140986932816","42.459954298399566","628.5859013067184","22.168208174848782","71.15527202344343","68.09433719792297"
"28066","o","440.49293755176507","932.3185557131021","9.507062448234933","67.68144428689789","63.09025441176155","46.13498410378234","73.5691730138295"
"28066","u","466.7560405384653","1182.9622675246612","166.7560405384653","182.96226752466123","82.98049910710847","225.14746893258803","67.54761450388898"
"28066","o","496.4040860175577","1086.024622742399","46.40408601755769","86.02462274239906","13.262691723662053","41.609956213156856","74.20636755858769"
"29617","e","507.17546283593373","1866.2355014912707","57.17546283593373","66.23550149127072","15.88768767914703","135.89996552437037","80.18087609643304"
"28492","i","306.3253735864733","1273.5942933868894","6.32537358647329","926.4057066131106","21.145474214773223","183.1581762181439","64.19227634621511"
"28492","o","528.2075055767913","1203.3032871465643","78.20750557679128","203.30328714656434","11.76316577111475","83.63511863445083","70.9754634735771"
"29182","a","776.6497746064762","1271.3740721532192","126.64977460647617","28.62592784678077","76.2636610454995","42.84444020639054","77.8797307685975"
"29182","i","410.1740666302788","2132.9314449835406","110.17406663027879","67.06855501645941","61.777876277643244","71.00957565890283","78.35306017832836"
"29182","i","403.22408806944406","2093.6719929802534","103.22408806944406","106.32800701974656","44.57174825321882","65.58245987882432","75.65366588678997"
"29182","a","911.2186490091854","1676.36152968237","261.21864900918536","376.36152968237","203.78526004448065","144.06811592017164","69.55297456435514"
"27893","e","446.85932293652303","1740.2504193491748","3.1406770634769714","59.74958065082524","13.59380063621979","210.00947693447478","75.60293851876484"
"27893","a","675.863958927452","1401.6145870159762","25.863958927452018","101.61458701597621","50.66138449837166","54.41303994265213","72.81745002107016"
"27893","a","627.4265496537303","1466.4993272769698","22.573450346269738","166.49932727696978","45.49370440807422","98.02743624802862","61.22287293879905"
"27899","a","738.435698722808","1233.2477346679561","88.43569872280796","66.75226533204386","66.15870895573482","114.97011635882721","72.03010219633941"
