"record","t","f1","f2","intensity","vowel"
"27356","0.786875","694.0342170965671","1459.9490872447807","56.17264687699346","a"
"27356","0.793125","698.2213449551655","1492.891060828983","57.98474448093381","a"
"27356","0.7993750000000001","638.098209897799","1511.2508519983146","59.07837975723339","a"
"27356","0.805625","548.7184662561947","1497.751026068492","60.00683517139341","a"
"27356","0.811875","509.6453550185877","1515.3753209774404","61.277726408872546","a"
"27356","0.818125","533.8210370602214","1522.8322937820258","63.10228167483115","a"
"27356","0.824375","566.4409247905999","1550.6427852392276","65.28097095266068","a"
"27356","0.8618750000000001","472.3250397333671","1698.5893854461592","68.46431342227844","e"
"27356","0.868125","489.32402922913855","1719.127731813082","70.74003163948687","e"
"27356","0.874375","485.43589008925926","1764.983248139848","71.85608123677329","e"
"27356","0.880625","479.6557129619254","1787.5700510900606","72.10945376940505","e"
"27356","0.886875","477.9121621136837","1795.687889472827","71.91674881458768","e"
"27356","0.8931250000000001","471.3550067371013","1821.184024734264","71.5328863268493","e"
"27356","0.899375","462.8209238826969","1830.55014666625","71.17009427681793","e"
"27356","0.905625","457.87944567265276","1827.7952727920983","70.89224356330607","e"
"27356","0.911875","452.79328055246947","1838.1432985973515","70.63623931813464","e"
"27356","0.918125","446.9013958937786","1869.2584394814994","70.23382851135207","e"
"27356","0.9243750000000001","441.0185004028908","1866.445745730693","69.44037010506594","e"
"27356","0.930625","432.3464640099114","1842.3352067384387","68.2462646098744","e"
"27356","0.936875","423.64586187069136","1847.1668328084882","66.70142125278917","e"
"27356","0.943125","426.116829978317","1826.0554144369235","64.8809838217322","e"
"27356","0.949375","438.55681755771883","1809.6972333560655","62.553921145646015","e"
"27356","0.9556250000000001","456.91278450037737","1851.7897665412604","59.715244944229966","e"
"27356","1.049375","384.95488054508735","1855.8958239548283","55.7150855945392","e"
"27356","1.055625","390.3623273897685","1884.7906168652423","58.04796840036121","e"
"27356","1.0618750000000001","388.55431917513954","1906.6638630121722","59.26398242475","e"
"27356","1.0681250000000002","385.77200579706385","1912.2358798023058","59.20693005943772","e"
"27356","1.0743749999999999","398.37934743764845","1910.9072806919626","57.9966548536836","e"
"27356","1.080625","431.8465958001844","1913.1797396828215","56.06053218967555","e"
"27356","1.086875","459.909015541531","1952.210949056453","54.37909879621414","e"
"27356","1.0931250000000001","459.4565561484297","1956.064287813667","53.23654445805888","e"
"27356","1.0993750000000002","438.1260114650255","1897.2733254266184","52.03879378365542","e"
"27356","1.1056249999999999","441.28025632680857","1858.0803918337701","50.36010662771663","e"
"27356","1.111875","450.35650612157997","1886.2443311449313","48.01188603074666","e"
"27356","1.118125","443.911629344401","1901.3581999177552","45.48690993490678","e"
"27356","1.1243750000000001","448.48185957639396","1864.9832959026362","43.42162415929976","e"
"27358","1.193","515.5010736394829","1351.1255279767945","61.35328469695498","o"
"27358","1.1992499999999997","524.3544764660252","1320.6038020516683","60.99454785397192","o"
"27358","1.2054999999999998","528.2394187638993","1265.8172737539471","60.88241058293821","o"
"27358","1.2117499999999999","542.2035291373228","1207.8790733367318","60.98919286438338","o"
"27358","1.218","542.1970880007433","1192.7000166615774","61.17105215975886","o"
"27358","1.22425","527.2521984870632","1180.783868582098","61.206193744846345","o"
"27358","1.2304999999999997","523.7602489775383","1136.822167626974","60.794293154247285","o"
"27358","1.2367499999999998","524.0700133964264","1116.7516665725143","59.81874536445613","o"
"27358","1.2429999999999999","511.0675399950703","1114.1159043527894","58.38134572266311","o"
"27358","1.24925","478.6697639892405","1083.148264073013","56.588868672754785","o"
"27358","1.2555","454.94016779908713","1058.5367571082943","54.52195339798503","o"
"27358","1.2617499999999997","495.8113861471749","1068.4397890909986","52.08893527378798","o"
"27358","1.2679999999999998","527.4295036898448","1062.858824577148","50.038026093317306","o"
"27358","1.2742499999999999","513.88634581691","1045.4608234354712","48.49122467436786","o"
"27358","1.2805","548.0553326895091","1052.1623643736464","47.20801801046343","o"
"27361","0.8867499999999998","552.430248816082","1282.838392106968","68.9595517388382","a"
"27361","0.8929999999999999","584.4348712948224","1397.7563789910455","70.05506539591458","a"
"27361","0.8992499999999999","606.7779805652247","1402.9022987240082","71.15727958574155","a"
"27361","0.9054999999999999","614.443876889845","1381.3128307422026","72.06411683058269","a"
"27361","0.9117499999999998","617.2074301938276","1333.233055591847","72.5807088824571","a"
"27361","0.9179999999999998","623.9579567696651","1275.4959331048824","73.01440616350412","a"
"27361","0.9242499999999999","642.2349230260647","1263.4221396616817","73.54416927284824","a"
"27361","0.9304999999999999","661.6641515265436","1259.394621825952","74.01345569558812","a"
"27361","0.9367499999999999","673.108366174032","1226.148630325032","74.25043915798629","a"
"27361","0.9429999999999998","674.2969451497305","1172.2982566116239","74.21851048729638","a"
"27361","0.9492499999999998","679.2804567057807","1111.0723970287324","74.21543136262908","a"
"27361","0.9554999999999999","684.9151800946561","1181.0983414755349","74.41881136672183","a"
"27361","0.9617499999999999","683.5406865891887","1295.4937981229523","74.85982757563372","a"
"27361","0.9679999999999999","680.5478967907491","1253.5701180955818","75.47154463476842","a"
"27361","0.9742499999999998","680.0072357444262","1302.3090462790638","76.19307094270204","a"
"27361","0.9804999999999998","675.8722424090673","1389.5132349654273","76.83466593138404","a"
"27361","0.9867499999999999","662.5449704561197","1361.9839727355502","77.35875848561842","a"
"27361","0.9929999999999999","654.6175915444694","1340.0258153483592","77.78646192054795","a"
"27361","0.9992499999999999","644.8422369752327","1365.1169807964734","78.19214731969367","a"
"27361","1.0429999999999997","539.5203482088641","1524.0957886999372","79.81991052061478","e"
