"t","f1","f2","i","vowel","distance"
"0.474375","483.07847863623726","2047.1033872371681","52.62240534336926","e","280.1818658734054"
"0.48062499999999997","493.9917177855941","2089.9882952074427","54.67978356603353","i","304.00342257815146"
"0.486875","494.8130142290125","2103.3950397526087","56.06754837213266","i","291.4179744764038"
"0.493125","491.81739418172964","2099.0809828908805","57.04414409377562","i","292.73641129084916"
"0.499375","484.82840614128213","2100.0237729250657","57.6179176528043","i","284.8046332162164"
"0.505625","468.61387795756764","2083.749776477124","57.79918155520044","i","284.8641014804434"
"0.511875","449.25155550664385","2061.545943050173","57.62525323258601","e","262.29438754352896"
"0.518125","444.27017596907365","2075.476831145955","57.29090368305514","i","268.79334482311845"
"0.524375","431.0774709364397","2051.4937658665126","57.047146667454705","e","270.4162949300729"
"0.530625","421.10579515226226","2033.3390219128223","57.17223384280636","e","262.23322676056006"
"0.536875","417.5837471478179","2031.087513889941","57.70078780230701","e","263.50376674212305"
"0.543125","408.931574161003","1958.3787211994988","58.22652545654137","e","199.4471470384958"
"0.549375","425.19769148702926","1952.912976698868","58.492933896434764","e","177.71528521183882"
"0.555625","449.74165019957735","1968.9815754574115","58.69144610641075","e","169.23992525783416"
"0.561875","460.312604591243","1891.5547731197935","58.910785169764864","e","101.86737771103645"
"0.568125","458.5010714376569","1815.5967070716588","59.16907682324968","e","24.097778509315674"
"0.574375","453.01333949049445","1757.8067163260312","59.39943789787876","e","45.20662316446328"
"0.580625","450.0392703089067","1700.7501489279234","59.622371258438875","e","99.28912138098326"
"0.586875","435.32105945685225","1651.891200220478","59.67854127860088","e","162.78774032266983"
"0.593125","404.83628707386674","1575.8052564460588","59.46575588575412","e","269.35845648007444"
"0.599375","402.8733296555955","1534.6694377447739","58.992633134625194","e","312.45723259963063"
"0.605625","427.87664282763717","1546.9422895643816","58.510318679589425","e","275.1810676079813"
"0.611875","446.8604945142708","1595.120772714333","58.22892196717118","e","208.01873277139617"
"0.618125","456.1403828517365","1610.9459516641596","58.09785452478076","e","195.19443118757692"
"0.624375","422.3841609729364","1442.1703617035387","58.042230327536025","a","369.7862007306023"
"0.630625","371.2391729171201","1475.2423781291038","58.283767720485976","e","403.5184489537761"
"0.636875","342.42918985653665","1733.5113009328506","58.94810620691766","e","174.0595092106127"
"0.6431250000000001","334.65953444934064","1762.533624490003","59.570191153254186","e","152.80684106065644"
"0.649375","326.4279287565","1706.7747197421377","59.815988787545045","e","216.7973515013623"
"0.655625","307.1108037194268","1665.7730827722964","59.56883307345542","e","277.1161135082767"
"0.661875","281.0133921160476","1546.4555001001484","59.30924781819335","e","422.53110778380403"
"0.668125","279.2786167692342","1558.4437921283272","59.53992281728816","e","412.2775911024386"
"0.6743750000000001","283.8908100144784","1615.2262316657482","60.16020282217159","e","350.8829583197734"
"0.680625","269.3621991997385","1529.1693293083931","60.88033192098219","e","451.4684714918684"
"0.686875","271.82143993422466","1534.9546437841157","61.38003627653696","e","443.2239162816597"
"0.693125","276.05888679746755","1552.978477462077","61.71491323193382","e","420.96263574045537"
"0.699375","279.8797272213252","1491.9753790781874","61.883443526380084","e","478.1448937004874"
"0.7056250000000001","308.8376120830099","1462.313183307068","61.83371964073703","u","471.1507953900778"
"0.711875","358.97284295113985","1514.3434285982758","61.53542414292798","e","376.6837284505844"
"0.718125","340.4213007581119","1600.801568685214","61.468739584799856","e","308.777130556674"
"0.724375","354.93447736536655","1683.9062611429513","61.527438095142884","e","211.15926149168217"
"0.730625","421.30414671349445","1768.5671300550393","61.58430945723646","e","60.12872323146621"
"0.7368750000000001","448.884416593655","1832.194094841526","61.674646288127","e","33.30967824787109"
"0.743125","516.5731182446242","1737.2766368714922","62.15152020196209","e","129.296481373132"
"0.749375","600.2534374691938","1732.3853586652533","62.998441259510805","e","217.86807880394053"
"0.755625","621.5828705238339","1882.4976208961398","63.87766078182822","e","254.08049141997367"
"0.761875","601.7605408800566","1935.4435774426565","64.66952052673744","e","287.20411832271316"
"0.7681250000000001","600.1453515496934","1985.7072307881785","65.36153516021653","e","335.8525823378719"
"0.774375","608.0758707121986","2021.7098898323902","65.85608258583086","e","379.7857605445888"
"0.780625","610.088484871715","2061.3762637911595","66.23360147093","e","421.4647486628745"
"0.786875","608.8124703930689","2094.3460124225157","66.56584005762534","i","414.46645797055317"
"0.793125","606.2378047244795","2118.2739835300736","66.94219713725936","i","387.9638211944059"
"0.7993750000000001","591.269592075034","2132.258489455236","67.46361200406321","i","359.01110261979795"
"0.805625","570.5328099163905","2121.9891732515807","67.74933846365255","i","348.5436366648098"
"0.811875","545.2594406744186","2117.787015505407","67.60762763299567","i","327.47242516901156"
"0.818125","506.0132621247234","2119.6132637238634","67.00388026409581","i","286.39999840086"
"0.824375","433.12685750360697","2099.4486966123627","66.06174093474455","i","233.67816089124426"
"0.8306250000000001","403.6567189269057","2029.6722940291181","65.1720986220411","i","273.98442489778756"
"0.836875","432.1858299277367","1969.7642752435158","65.12584332847602","e","187.57844531577916"
"0.843125","431.5216756339762","1963.8340453059989","65.23635936730014","e","182.31236967202267"
"0.849375","394.71499105990165","1980.497067973768","64.97283867276029","e","235.78207691386638"
"0.855625","323.7345043988213","1962.6739575678844","64.09649541823877","i","261.0605468309369"
"0.8618750000000001","287.29971624395034","1952.4834420131397","62.81637979875992","i","260.21684174291"
"0.868125","253.37235189561076","2049.009636070029","61.33791454887365","i","197.6180120343602"
"0.874375","184.82322511622726","2034.4354057883152","59.788652586852585","i","280.74136909545757"
"0.880625","221.33463083100582","1959.6324600041082","58.167289788747546","i","319.03290916488595"
