"t","f_1","f_2","f_3","f_4","f_5","i","phoneme"
"0.023750000000000205","505.0409434779017","1578.0011746634277","4251.092502764267","5448.6475435417915","nan","nan","sil"
"0.030000000000000204","505.0426842209537","1577.9946476395658","4251.098980021139","5448.647818250662","nan","-300.0","sil"
"0.036250000000000206","505.04671505019326","1577.982379018901","4251.153513463142","5448.648395663484","nan","-300.0","sil"
"0.042500000000000204","505.0507360840146","1577.9586756238386","4251.203414692338","5448.649025588022","nan","-300.0","sil"
"0.04875000000000021","505.0542371133819","1577.942789904617","4251.25405682243","5448.6497094797905","nan","-300.0","sil"
"0.0550000000000002","505.0571623555103","1577.925425184482","4251.385150063076","5448.650450023032","nan","-300.0","sil"
"0.06125000000000021","505.0598716413906","1577.8989671913066","4251.475804765679","5448.651256104932","nan","-300.0","sil"
"0.0675000000000002","505.0644450032903","1577.902579820627","4251.467917059554","5448.652138717323","nan","-300.0","sil"
"0.0737500000000002","505.0694623113756","1577.9020112615465","4251.432593766332","5448.653104266522","nan","-300.0","sil"
"0.08000000000000021","505.072877550582","1577.884614050799","4251.424763056447","5448.654156705293","nan","-300.0","sil"
"0.08625000000000022","505.07577015624423","1577.8598993824523","4251.500316456247","5448.655316799286","nan","-300.0","sil"
"0.09250000000000021","505.07980587108375","1577.843278317586","4251.505552541111","5448.656602202596","nan","-300.0","sil"
"0.09875000000000021","505.08378764615867","1577.8325725226682","4251.446962461056","5448.6580216982375","nan","-300.0","sil"
"0.1050000000000002","505.0872070568474","1577.8097226870302","4251.400411587579","5448.659584489109","nan","-300.0","sil"
"0.11125000000000021","505.09092049298533","1577.793009056959","4251.372340771748","5448.661324377452","nan","-300.0","sil"
"0.11750000000000022","505.0951157757137","1577.7934374267745","4251.382500540861","5448.663280709501","nan","-300.0","sil"
"0.12375000000000021","505.09888679232864","1577.7827958186626","4251.359218113236","5448.665472869752","nan","-300.0","sil"
"0.13000000000000023","505.102356483411","1577.7643235496905","4251.305560202045","5448.667919798866","nan","-300.0","sil"
"0.1362500000000002","505.10606874326163","1577.7548939074427","4251.266897861806","5448.670687631291","nan","-300.0","sil"
"0.1425000000000002","505.11012381173884","1577.7522540774467","4251.167782720092","5448.673852964685","nan","-300.0","sil"
"0.14875000000000022","505.1146790479365","1577.7589827472266","4250.985629847088","5448.677470284856","nan","-300.0","sil"
"0.15500000000000022","505.11796468171775","1577.743522411126","4250.8022956782315","5448.681600021375","nan","-300.0","sil"
"0.1612500000000002","505.12069161436744","1577.723857147173","4250.607043448354","5448.686389344044","nan","-300.0","sil"
"0.1675000000000002","505.12283026512443","1577.7033063586991","4250.413852825658","5448.692026228617","nan","-300.0","sil"
"0.1737500000000002","505.1247163125347","1577.6765842898908","4250.104602513411","5448.698680514501","nan","-300.0","sil"
