"t","f_1","f_2","f_3","f_4","f_5","i","phoneme"
"0.024124999999999886","504.8657600100313","1584.8713672454887","4226.804311321353","5448.642272941133","nan","nan","sil"
"0.030374999999999885","504.8667334896782","1584.68374925431","4227.459045529989","5448.642153116727","nan","-300.0","sil"
"0.03662499999999989","504.8687406967627","1584.3161248596698","4228.738886982308","5448.64191588537","nan","-300.0","sil"
"0.042874999999999885","504.8702825097078","1583.9600806100098","4230.007773819736","5448.641686518822","nan","-300.0","sil"
"0.04912499999999989","504.87135275701513","1583.6101292420763","4231.22419868918","5448.641464776945","nan","-300.0","sil"
"0.05537499999999988","504.87225050035914","1583.2685283628405","4232.370052706204","5448.641250900195","nan","-300.0","sil"
"0.06162499999999989","504.8734105168678","1582.949018137605","4233.4636628339285","5448.6410426646335","nan","-300.0","sil"
"0.06787499999999988","504.87544587411685","1582.65453446102","4234.448919538312","5448.640835654147","nan","-300.0","sil"
"0.07412499999999989","504.87673981336224","1582.3556943446838","4235.424412909906","5448.640633996561","nan","-300.0","sil"
"0.08037499999999989","504.8771577134686","1582.0584818961388","4236.414084054422","5448.640439272565","nan","-300.0","sil"
"0.0866249999999999","504.87845713622687","1581.7983062699964","4237.379367006066","5448.640247596038","nan","-300.0","sil"
"0.09287499999999989","504.8796157448618","1581.5497640042572","4238.307044606956","5448.640056429636","nan","-300.0","sil"
"0.0991249999999999","504.87973621769606","1581.2834510265175","4239.158914434573","5448.639865776896","nan","-300.0","sil"
"0.10537499999999989","504.8796364736646","1581.02531410127","4240.003724410144","5448.639678123416","nan","-300.0","sil"
"0.11162499999999989","504.8800554334089","1580.7901321543172","4240.823034406216","5448.63949051805","nan","-300.0","sil"
"0.1178749999999999","504.88081599553766","1580.5674012831748","4241.588197093264","5448.639300185705","nan","-300.0","sil"
"0.12412499999999989","504.88061097720504","1580.342181793803","4242.336759879302","5448.63910929001","nan","-300.0","sil"
"0.1303749999999999","504.88022143189465","1580.1323082915274","4243.044135143063","5448.638917422235","nan","-300.0","sil"
"0.13662499999999989","504.8812685600335","1579.9478085581277","4243.675190220973","5448.6387211200035","nan","-300.0","sil"
"0.1428749999999999","504.88216141986345","1579.762739593505","4244.259752852142","5448.638519363791","nan","-300.0","sil"
"0.1491249999999999","504.8812092377264","1579.5648543526468","4244.86889161237","5448.638315260445","nan","-300.0","sil"
"0.1553749999999999","504.8796932160979","1579.3677858610586","4245.512684183957","5448.638109703045","nan","-300.0","sil"
"0.16162499999999988","504.87925659759316","1579.2041487656668","4246.1446962706705","5448.6378984202","nan","-300.0","sil"
"0.16787499999999989","504.87959466409234","1579.0642258603652","4246.705223658522","5448.637677122592","nan","-300.0","sil"
"0.1741249999999999","504.87978604975456","1578.9199104893114","4247.195417088798","5448.637446761893","nan","-300.0","sil"
"0.1803749999999999","504.87914129836525","1578.7652271089744","4247.659357882197","5448.63720981768","nan","-300.0","sil"
"0.1866249999999999","504.87883492189945","1578.6296022824577","4248.047807945166","5448.636961611778","nan","-300.0","sil"
"0.1928749999999999","504.8790183909589","1578.5175365792747","4248.38322696299","5448.636699474358","nan","-300.0","sil"
"0.19912499999999989","504.8788200669951","1578.4003595369866","4248.7964687423555","5448.636428116724","nan","-300.0","sil"
"0.2053749999999999","504.87837691147547","1578.2903479230927","4249.254683246861","5448.636147442466","nan","-300.0","sil"
"0.2116249999999999","504.87780646651964","1578.1974329408772","4249.623624649815","5448.635849733097","nan","-300.0","sil"
"0.2178749999999999","504.8763676551429","1578.092911467234","4249.944949635479","5448.635532706692","nan","-300.0","sil"
"0.2241249999999999","504.8750279702414","1577.9938500597204","4250.245906689976","5448.635197184997","nan","-300.0","sil"
"0.23037499999999989","504.87384963181273","1577.9138072248174","4250.5460292711305","5448.634844339893","nan","-300.0","sil"
"0.2366249999999999","504.87286755860794","1577.8465665917934","4250.8100993563885","5448.634468279902","nan","-300.0","sil"
"0.2428749999999999","504.8726891987942","1577.7967324998494","4250.979300640808","5448.634062031232","nan","-300.0","sil"
"0.2491249999999999","504.87095951269083","1577.7364535033062","4251.205800477929","5448.633630452787","nan","-300.0","sil"
"0.2553749999999999","504.868555058728","1577.673418804728","4251.466368836414","5448.633173010987","nan","-300.0","sil"
"0.2616249999999999","504.8660975291672","1577.616368459692","4251.692574109804","5448.632680733583","nan","-300.0","sil"
"0.26787499999999986","504.86306947235846","1577.5666961614957","4251.924121565305","5448.632147417138","nan","-300.0","sil"
"0.2741249999999999","504.86096697066097","1577.543851941758","4252.065488612493","5448.631568689136","nan","-300.0","sil"
"0.2803749999999999","504.8593531654198","1577.5337185807477","4252.121145898771","5448.630944714757","nan","-300.0","sil"
"0.2866249999999999","504.85783421883525","1577.5396832552008","4252.158263598158","5448.630267216258","nan","-300.0","sil"
"0.2928749999999999","504.855972913795","1577.5521883579756","4252.161328857996","5448.6295241721045","nan","-300.0","sil"
"0.2991249999999999","504.85169658389884","1577.5333086452397","4252.19955203163","5448.628715082249","nan","-300.0","sil"
"0.3053749999999999","504.84612822328506","1577.5169196048964","4252.306315020838","5448.627838642346","nan","-300.0","sil"
"0.3116249999999999","504.84126949740136","1577.5295747861412","4252.359509209153","5448.626874091954","nan","-300.0","sil"
"0.3178749999999999","504.8377016609446","1577.571978838152","4252.257507509864","5448.6257993912","nan","-300.0","sil"
"0.3241249999999999","504.8343775689665","1577.6419523298155","4252.062429687096","5448.624608841665","nan","-300.0","sil"
"0.3303749999999999","504.8304610194977","1577.7231051653553","4251.853184506224","5448.6232986145205","nan","-300.0","sil"
"0.3366249999999999","504.8257043287889","1577.812535536324","4251.650823618482","5448.621840274585","nan","-300.0","sil"
"0.34287499999999993","504.81903892188166","1577.9001237687537","4251.483827719657","5448.62020107663","nan","-300.0","sil"
"0.3491249999999999","504.8112075652102","1578.0005747076898","4251.307353940905","5448.61836050768","nan","-300.0","sil"
"0.3553749999999999","504.8038843621539","1578.1332955676073","4251.035525140336","5448.616298264377","nan","-300.0","sil"
"0.3616249999999999","504.7952287841849","1578.2775110806224","4250.690997498641","5448.6139591758565","nan","-300.0","sil"
"0.3678749999999999","504.7837068689406","1578.4239829696162","4250.33454652082","5448.6112776876325","nan","-300.0","sil"
"0.37412499999999993","504.77148703227766","1578.6107491700054","4249.950629173489","5448.6082040869705","nan","-300.0","sil"
"0.3803749999999999","504.7581575169853","1578.828964408297","4249.532837602736","5448.60468859112","nan","-300.0","sil"
"0.3866249999999999","504.7411212452454","1579.0355315737156","4249.004506982195","5448.600605299819","nan","-300.0","sil"
"0.3928749999999999","504.72162316542676","1579.2861362504211","4248.3428178070135","5448.595796695687","nan","-300.0","sil"
"0.3991249999999999","504.6994192981185","1579.5931167392348","4247.6325758344265","5448.590125964275","nan","-300.0","sil"
"0.40537499999999993","504.6730485967208","1579.943372172235","4246.8745856212345","5448.583435526677","nan","-300.0","sil"
"0.4116249999999999","504.64425504698823","1580.4075830534891","4246.0021245791","5448.575389656669","nan","-300.0","sil"
"0.4178749999999999","504.6061532489409","1580.889046132719","4245.035189722749","5448.565546890437","nan","-300.0","sil"
"0.4241249999999999","504.55727078415805","1581.4018549926222","4243.823651365942","5448.553416197924","nan","-300.0","sil"
"0.4303749999999999","504.501978864506","1582.09250902694","4242.2661215483","5448.538375638109","nan","-300.0","sil"
"0.43662499999999993","504.43537840791964","1582.987261777343","4240.236316027643","5448.519232170187","nan","-300.0","sil"
"0.4428749999999999","504.3467014879643","1584.0392303189615","4237.968355421285","5448.49424716654","nan","-300.0","sil"
"0.4491249999999999","504.2273467520929","1585.2691548566409","4235.550595466992","5448.461041036151","nan","-300.0","sil"
"0.4553749999999999","504.07228479956586","1586.8535010679889","4232.562567787045","5448.416056603363","nan","-300.0","sil"
"0.4616249999999999","503.86470812572975","1588.9774085705349","4228.579956539314","5448.352321625496","nan","-300.0","sil"
"0.46787499999999993","503.5767757776423","1591.9149476744296","4223.052009069459","5448.257533561101","nan","-300.0","sil"
"0.4741249999999999","503.17237841325414","1596.2579259650288","4215.157303141596","5448.109235990891","nan","-300.0","sil"
"0.4803749999999999","502.58425652006656","1602.6023245552972","4204.056315708127","5447.862810766526","nan","-300.0","sil"
"0.4866249999999999","501.6971372143425","1612.298519423221","4187.611582914576","5447.407081387468","nan","-300.0","sil"
"0.4928749999999999","500.3914989767454","1628.1429671766589","4160.744306405015","5446.453630254968","nan","-300.0","sil"
"0.49912499999999993","498.6489399869597","1652.106048130429","4115.522250510924","5444.2683942273725","nan","-300.0","sil"
"0.5053749999999999","496.8565140746439","1671.4647952451514","4043.372991388418","5439.959416725658","nan","-300.0","sil"
"0.5116249999999999","496.311756604352","1669.3510800971635","4056.067334116744","5439.813426767972","nan","-300.0","sil"
"0.5178749999999999","497.4239290534433","1644.1535362671166","4151.20467677685","5444.060001112343","nan","-300.0","sil"
"0.524125","499.1212821259603","1614.6684918621427","4208.451094212698","5446.366321766209","nan","-300.0","sil"
"0.5303749999999999","500.63801479252044","1597.089100825437","4235.046715072231","5447.369198154935","nan","-300.0","sil"
"0.5366249999999999","501.7632986945986","1588.118461661008","4246.715363998343","5447.847016758678","nan","-300.0","sil"
"0.5428749999999999","502.5497127393104","1583.297624129309","4251.841058308757","5448.107545508425","nan","-300.0","sil"
"0.5491249999999999","503.0862271277045","1580.5191253235803","4254.024055529602","5448.2624002072025","nan","-300.0","sil"
"0.555375","503.46162576802413","1578.9714984497487","4254.804411084204","5448.361346458791","nan","-300.0","sil"
"0.5616249999999999","503.7336287202055","1578.1197122849471","4254.836140980579","5448.428862525959","nan","-300.0","sil"
"0.5678749999999999","503.9347277294779","1577.6124756483102","4254.471058851848","5448.47780731074","nan","-300.0","sil"
