"t","f_1","f_2","f_3","f_4","f_5","i","phoneme"
"0.023874999999999914","504.67413305524207","1577.483672157451","4251.311140489796","5448.625658563846","nan","nan","sil"
"0.030124999999999912","504.67057538715665","1577.5193470597892","4251.247688121641","5448.6251866616385","nan","-300.0","sil"
"0.036374999999999914","504.6610913396071","1577.600348707973","4251.085484150603","5448.624184599161","nan","-300.0","sil"
"0.04262499999999991","504.65159616616","1577.7246537033154","4250.623085594418","5448.623058686576","nan","-300.0","sil"
"0.04887499999999992","504.63725323776737","1577.8102262959817","4250.215438187048","5448.621792260987","nan","-300.0","sil"
"0.05512499999999991","504.6197430717493","1577.9061049539564","4249.894696047017","5448.620352520718","nan","-300.0","sil"
"0.061374999999999916","504.60589419897104","1578.1223819343911","4249.264137399852","5448.618705074332","nan","-300.0","sil"
"0.06762499999999991","504.59108676095144","1578.4079888955134","4248.430694077795","5448.616833566866","nan","-300.0","sil"
"0.07387499999999991","504.57409842236984","1578.7435798151955","4247.537696784775","5448.614684781338","nan","-300.0","sil"
"0.08012499999999992","504.55090133882163","1579.0496619323042","4246.604962805217","5448.612189576266","nan","-300.0","sil"
"0.08637499999999992","504.5261844407118","1579.4541381995255","4245.263775315599","5448.609279163892","nan","-300.0","sil"
"0.09262499999999992","504.5006817568378","1579.9637870439115","4243.723344549755","5448.605898409953","nan","-300.0","sil"
"0.09887499999999992","504.4687468606294","1580.5045230612195","4242.035050888333","5448.60191159559","nan","-300.0","sil"
"0.10512499999999991","504.4356801979144","1581.2189665460573","4239.904945515967","5448.59713122739","nan","-300.0","sil"
"0.11137499999999992","504.3944595588532","1581.9994827232924","4237.557180079317","5448.591391954212","nan","-300.0","sil"
"0.11762499999999992","504.3436222345591","1582.8688517298042","4234.873438758062","5448.584485784229","nan","-300.0","sil"
"0.12387499999999992","504.28896552394866","1583.9512567386328","4231.25957721159","5448.575984914754","nan","-300.0","sil"
"0.13012499999999994","504.21948474767527","1585.1696510088334","4227.225939230559","5448.565347437266","nan","-300.0","sil"
"0.1363749999999999","504.13374024106326","1586.6298118688865","4222.914397873886","5448.551915983812","nan","-300.0","sil"
"0.14262499999999992","504.034419498902","1588.4272776465805","4217.5197564443","5448.534790234751","nan","-300.0","sil"
"0.14887499999999992","503.9153133598776","1590.6712129783737","4210.614751339381","5448.5123028851485","nan","-300.0","sil"
"0.15512499999999993","503.7697825897342","1593.5745141252012","4202.002641438261","5448.481919050182","nan","-300.0","sil"
"0.1613749999999999","503.57999702455","1596.9967698791615","4191.6630123695995","5448.439932484251","nan","-300.0","sil"
"0.1676249999999999","503.34594076304086","1601.2653761298654","4178.4445007219565","5448.380478481176","nan","-300.0","sil"
"0.17387499999999992","503.06476848483885","1607.0556039098776","4160.488619024041","5448.291718169576","nan","-300.0","sil"
"0.18012499999999992","502.69653301566495","1614.4099948174376","4137.314852980719","5448.151286088811","nan","-300.0","sil"
"0.18637499999999993","502.2282999282853","1623.6964996347901","4107.512066818543","5447.91405813745","nan","-300.0","sil"
"0.19262499999999994","501.67547125875905","1635.5232311990133","4068.304051870826","5447.480203699159","nan","-300.0","sil"
"0.1988749999999999","501.04337695454876","1649.6291636101855","4019.5072503364745","5446.577966749361","nan","-300.0","sil"
"0.20512499999999992","500.3846477773547","1663.5524718441602","3966.486776427717","5444.510964479627","nan","-300.0","sil"
"0.21137499999999992","499.8356849506251","1672.1170619452182","3918.7294263454132","5440.3081549175095","nan","-300.0","sil"
"0.21762499999999993","499.6870879663174","1673.7552376579383","3917.2420572611777","5439.984924576838","nan","-300.0","sil"
"0.22387499999999994","500.0080320206697","1666.7820118545233","3968.2832080460603","5444.068213229808","nan","-300.0","sil"
"0.2301249999999999","500.5882729433313","1651.6740844644492","4031.0596367711296","5446.439192551122","nan","-300.0","sil"
"0.23637499999999992","501.2776817961988","1635.0589251864917","4088.121662121415","5447.494488627725","nan","-300.0","sil"
"0.24262499999999992","501.9396029352922","1620.8249924562913","4132.15354555006","5448.01100401577","nan","-300.0","sil"
"0.24887499999999993","502.5089807580671","1609.8506916325855","4163.26338884711","5448.306121230888","nan","-301.3502768825108","sil"
"0.25512499999999994","502.94691285307636","1601.7562546417255","4184.327462941772","5448.500048139752","nan","-310.99511175759153","sil"
"0.2613749999999999","503.1449867609659","1595.6466395772666","4198.866838420337","5448.632504345167","nan","-121.3152883737781","sil"
"0.2676249999999999","598.8490144957146","1752.883170089259","3582.4784824045023","4608.7705093335635","nan","-22.87606326962399","sil"
"0.2738749999999999","710.4096505084615","1907.8328172715742","2980.746796328198","3823.0329123131787","nan","-26.536452817674085","sil"
"0.2801249999999999","736.4740012643509","1888.1285865705042","2981.616746189567","3840.190129045434","nan","-16.067871504587597","sil"
"0.28637499999999994","776.3244371157664","1886.9382784502914","2942.565289341177","3791.6428037465544","5171.489515899298","-9.762507591522589","sil"
"0.2926249999999999","854.2483887721064","1983.9320718082276","3075.053925350662","3777.586838547174","4990.627883499857","-5.440628351460213","sil"
"0.29887499999999995","922.8224056802462","2091.5016465920107","3294.8181149788697","4098.937106834241","nan","-1.9900693795990811","sil"
"0.3051249999999999","950.5910336687406","2048.9306213989294","3330.6318883747663","3967.339212411221","5369.276897954685","0.967319961097324","sil"
"0.3113749999999999","1133.7739228051703","2084.8658379164194","3245.5201546713097","3961.0396275483004","5369.276897954685","2.9652660279897467","sil"
"0.31762499999999994","1332.1476960467123","2380.183255868081","3300.936531514365","4714.907555669553","nan","4.586903417989218","sil"
"0.3238749999999999","1359.7527253654212","2428.755673117392","3339.7105390402576","4991.148489345836","nan","6.182394468838649","sil"
"0.33012499999999995","1154.5923634229093","2231.461981665538","3310.453986481051","nan","nan","7.685932225612995","sil"
"0.3363749999999999","852.1369167096225","2034.80858723649","3021.067772045712","3366.3979131610345","4875.545702365636","8.848616089736018","sil"
"0.34262499999999996","706.7234940519303","1856.227208539039","2684.5682422753302","3396.2318213607555","4866.9215730987635","9.393622356439591","sil"
"0.34887499999999994","673.0159305925174","1730.6136914319086","2668.3523958963005","3426.9849058566224","4932.695114454742","9.258173863157461","sil"
"0.3551249999999999","729.7018250175623","1460.9020772063723","2556.8972259648954","3501.99328695195","4978.158250657265","8.619385989496552","sil"
"0.36137499999999995","885.7033209480445","1251.1084718797802","2437.9391706121423","3494.9341409387016","4902.40539931186","7.981275517113938","sil"
"0.3676249999999999","941.7603190983411","1506.5108184924743","2475.557226014089","3411.3027151159795","4886.155842231214","8.074832990989325","sil"
"0.37387499999999996","907.1308287948908","1727.0067762236263","2647.3408849752923","3392.124957237239","nan","8.55641704899688","sil"
"0.38012499999999994","882.7658852581515","1778.7996361867322","2635.478852355983","3398.648313237104","5132.192666660576","8.80485379372893","sil"
"0.3863749999999999","924.0208713635216","1954.0053466025486","2392.226304309441","3438.347574074113","5070.438947864841","8.91204049999941","sil"
"0.39262499999999995","981.0810686181326","1926.2677037890412","2426.010560148916","3439.7553658671623","5025.8876630280265","9.197381811607697","sil"
"0.3988749999999999","893.0616026872535","1881.1224101609932","2564.6136813751136","3410.1426900224446","5199.290346769192","10.067961887865836","sil"
"0.40512499999999996","922.8970511723662","1828.9196661534736","2623.279423773637","3416.7320826222426","5330.36828003238","11.018138188952484","sil"
"0.41137499999999994","955.992113172448","1797.6289504187203","2726.869095803654","3355.348278495615","5039.942851235561","11.603122022361305","sil"
"0.4176249999999999","822.5754407159393","1863.8280772912112","2713.7550165814964","3363.9970567115915","4783.361298313213","12.025713934173032","sil"
"0.42387499999999995","759.9396169867855","1883.0797303658173","2665.7219806361572","3433.9008576716737","5078.0300325185035","12.874730353553163","sil"
"0.4301249999999999","752.258386085768","1780.703082998043","2506.3950551956264","3363.7234949360377","5126.668590030878","14.082509533157172","sil"
"0.43637499999999996","725.4668863493321","1758.7569522491754","2503.0949572259005","3344.4778463378934","4872.476297812716","14.028537540693323","sil"
"0.44262499999999994","762.8450937974285","1809.4349874716497","2763.175934465229","3378.635285816051","4900.854617396999","13.291052704554298","sil"
"0.4488749999999999","846.5807270587285","1799.545088800237","2852.982442236288","3356.561101099755","nan","12.816033411626218","sil"
"0.45512499999999995","847.6484383864206","1777.2379323537987","2719.059305131478","3349.5914535481497","5412.314792384954","13.478487728417186","sil"
"0.4613749999999999","802.5538764872547","1753.683008357577","2625.9629663477435","3376.4382392121083","5194.90358659507","13.600866416838802","sil"
"0.46762499999999996","852.4053533092883","1835.0293504136866","2733.8519008015664","3408.3884645841636","4978.087792690409","13.464556217556","sil"
"0.47387499999999994","900.7936278632724","1943.988078178294","2896.678459594078","3466.0392162869093","nan","13.769445940820129","sil"
"0.4801249999999999","1049.2911366243388","2073.5008538668253","2894.146770843984","3485.4798687029893","nan","15.076737374906445","sil"
"0.48637499999999995","909.0817015654484","1841.412466749574","2747.9458263495108","3387.0222251008054","5227.967595732764","15.956264037122976","sil"
"0.4926249999999999","686.4549046266754","1572.6358739246261","2667.0764852473435","3313.5461011356674","5202.962370154139","16.147061093996122","sil"
"0.49887499999999996","749.3644289988999","1592.663826578198","2583.2638224970715","3340.5132293838196","5090.141965042774","16.136942225703404","sil"
