"t","f_1","f_2","f_3","f_4","f_5","i","phoneme"
"0.02362499999999983","505.20069998935094","1579.256208342089","4247.652758252165","5448.654302363456","nan","nan","sil"
"0.02987499999999983","505.2045530436092","1579.2393262721657","4247.689541973555","5448.654657081019","nan","nan","sil"
"0.03612499999999983","505.20942568781334","1579.141842864703","4247.95597195261","5448.655394931144","nan","-300.0","sil"
"0.04237499999999983","505.2144068053042","1579.0446017508737","4248.283353904733","5448.65617411563","nan","-300.0","sil"
"0.048624999999999835","505.22411821365824","1579.0375048764308","4248.420023199923","5448.656995313709","nan","-300.0","sil"
"0.05487499999999983","505.2356021946425","1579.0400433382135","4248.466531584865","5448.657872662098","nan","-300.0","sil"
"0.06112499999999983","505.24573251372465","1578.9958637863995","4248.51488765739","5448.658808819946","nan","-300.0","sil"
"0.06737499999999982","505.2530544264094","1578.895983783713","4248.6291576628855","5448.659803539706","nan","-300.0","sil"
"0.07362499999999983","505.2622690493312","1578.8323528801936","4248.737155721199","5448.6608670109","nan","-300.0","sil"
"0.07987499999999984","505.2738778904492","1578.822509617875","4248.925932890132","5448.66201654986","nan","-300.0","sil"
"0.08612499999999984","505.2828042399539","1578.7616935994733","4249.22858747269","5448.663256460231","nan","-300.0","sil"
"0.09237499999999983","505.29070411456917","1578.664274712413","4249.568519468925","5448.6645842520375","nan","-300.0","sil"
"0.09862499999999984","505.2993613270511","1578.5747435217347","4249.798803521635","5448.666016713665","nan","-300.0","sil"
"0.10487499999999983","505.30925834645916","1578.5041135069935","4249.933481357208","5448.667579690817","nan","-300.0","sil"
"0.11112499999999984","505.31863016008145","1578.4310446584286","4250.149152002074","5448.669287359742","nan","-300.0","sil"
"0.11737499999999984","505.32784526429145","1578.3639467275996","4250.298357584733","5448.671143069242","nan","-300.0","sil"
"0.12362499999999983","505.338210842441","1578.3027297883514","4250.309607120111","5448.673186083397","nan","-300.0","sil"
"0.12987499999999985","505.34723425212957","1578.2283221581376","4250.391874518687","5448.675472679955","nan","-300.0","sil"
"0.13612499999999983","505.35656173750544","1578.173910993959","4250.534522787604","5448.678033215263","nan","-300.0","sil"
"0.14237499999999984","505.3658188007955","1578.1338562515248","4250.679399462382","5448.680900397894","nan","-300.0","sil"
"0.14862499999999984","505.37337369335455","1578.072447048965","4250.8292466757","5448.684170287525","nan","-300.0","sil"
"0.15487499999999985","505.37885494422346","1577.9760568473844","4250.964518916771","5448.687964864953","nan","-300.0","sil"
"0.16112499999999982","505.3837989136601","1577.8977833932347","4251.018895653709","5448.692394659366","nan","-300.0","sil"
"0.16737499999999983","505.39044889683237","1577.8739507669259","4250.946290021065","5448.697595500439","nan","-300.0","sil"
"0.17362499999999984","505.3960949194918","1577.85246881404","4250.856953855446","5448.703862631859","nan","-300.0","sil"
"0.17987499999999984","505.3994561482158","1577.7999737475538","4250.639013579024","5448.711601795923","nan","-300.0","sil"
"0.18612499999999985","505.40262753283105","1577.7553193229453","4250.189433753158","5448.721307091137","nan","-300.0","sil"
"0.19237499999999985","505.40352932632663","1577.7033161886484","4249.708016596261","5448.733676683534","nan","-300.0","sil"
"0.19862499999999983","505.4025619364795","1577.6375304137089","4249.090467417993","5448.750049216499","nan","-300.0","sil"
"0.20487499999999984","505.4018363640381","1577.5801315354147","4248.071121436002","5448.772573911784","nan","-300.0","sil"
"0.21112499999999984","505.4005813148616","1577.5126824687654","4246.643122128387","5448.804659848065","nan","-300.0","sil"
"0.21737499999999985","505.3999367894802","1577.406129022946","4244.573393783507","5448.852101563183","nan","-300.0","sil"
"0.22362499999999985","505.40399863351024","1577.2259506931282","4241.179887086424","5448.927310893095","nan","-315.1978161769423","sil"
"0.22987499999999983","505.42069773033427","1576.9038954942694","4235.373308477586","5449.056342730681","nan","-249.70497489410266","sil"
"0.23612499999999984","535.922358790839","1629.0222574085547","3548.5429024232694","nan","nan","-27.15598591936476","sil"
"0.24237499999999984","737.3103528782365","2031.73897430266","3336.9860368461104","nan","nan","-15.266745990244125","sil"
"0.24862499999999985","959.7005478384167","2356.9607438115145","3800.9338638363997","4572.089877586516","nan","-14.090850017709624","sil"
"0.25487499999999985","1000.3002546273356","2352.256204010775","3801.49506604421","4744.023492113651","nan","-9.760671304416535","sil"
"0.26112499999999983","982.8781748738185","2410.876573603752","3813.79459816839","4884.420207851383","nan","-5.291058517775088","sil"
"0.2673749999999998","898.5601043962711","2589.9412419249543","3807.121358765283","4899.225945941396","nan","-3.0142330142106815","sil"
"0.27362499999999984","671.3916268174441","2367.3903489686154","3452.363030612801","4405.298756144513","4992.933533950845","-1.9727466467002726","sil"
"0.2798749999999998","556.1664653634721","1987.1292406668092","3127.0418722551403","3895.566006835169","4903.543757070325","-1.561755987239913","sil"
"0.28612499999999985","630.2301095100602","2055.494337363621","3267.8498871622733","4058.656888822822","nan","-1.487108625070775","sil"
"0.29237499999999983","683.9550453301241","2143.6204334370186","3180.2104485415025","4040.5482816564895","5241.787572768476","-1.4269623181462245","sil"
"0.29862499999999986","749.1050252533148","2085.656111073369","3006.8914356906307","3905.517944629515","nan","-0.5136913535490596","sil"
"0.30487499999999984","1299.862967651977","2448.6453047446257","3381.577396337233","4411.349814971648","nan","2.0932507054213465","sil"
"0.3111249999999998","1859.42703407784","2774.5570164909","3699.804538049257","4961.239306163207","nan","4.931976650953031","sil"
"0.31737499999999985","1065.5322254178325","2232.001199296757","3160.9747552363533","4355.44378974241","4997.937590987656","6.861704766166964","sil"
