"t","f_1","f_2","f_3","f_4","f_5","i","phoneme"
"0.02450000000000001","504.6615271779703","1577.5290052615499","4250.697132584194","5448.628865171938","nan","nan","sil"
"0.03075000000000001","504.6616238982631","1577.481959551275","4250.798203567138","5448.628891482376","nan","-300.0","sil"
"0.03700000000000001","504.66175068843756","1577.4137470683095","4251.021319168798","5448.628931514514","nan","-300.0","sil"
"0.04325000000000001","504.6618145076099","1577.3860637236967","4251.183825976361","5448.628943468513","nan","-300.0","sil"
"0.049500000000000016","504.66203009361834","1577.3864827100094","4251.195763560884","5448.628924795414","nan","-300.0","sil"
"0.05575000000000001","504.6602298194163","1577.3884206182806","4251.131150511734","5448.6288778828","nan","-300.0","sil"
"0.06200000000000001","504.65757737914225","1577.4131653995196","4251.053489329862","5448.6288041988355","nan","-300.0","sil"
"0.06825","504.6570023973088","1577.5103886950271","4250.92808150123","5448.628700681201","nan","-300.0","sil"
"0.07450000000000001","504.6556040701481","1577.6258745877672","4250.6815170727405","5448.628564710035","nan","-300.0","sil"
"0.08075000000000002","504.65412025693826","1577.7610782816578","4250.181041546661","5448.628391654836","nan","-300.0","sil"
"0.08700000000000002","504.6530126565033","1577.9242404154136","4249.540752296704","5448.6281848798035","nan","-300.0","sil"
"0.09325000000000001","504.6491047336972","1578.072493320493","4248.9480196979675","5448.627947750327","nan","-300.0","sil"
"0.09950000000000002","504.6434183507624","1578.2440802841622","4248.346409724065","5448.627674826712","nan","-300.0","sil"
"0.10575000000000001","504.63895413728017","1578.4844801098766","4247.567316161152","5448.627359679869","nan","-300.0","sil"
"0.11200000000000002","504.6358608846721","1578.7782669330993","4246.602004116535","5448.627001906349","nan","-300.0","sil"
"0.11825000000000002","504.6318266865192","1579.107705585182","4245.672980382822","5448.626603061824","nan","-300.0","sil"
"0.12450000000000001","504.6259076802023","1579.466523521522","4244.688307261716","5448.626154671469","nan","-300.0","sil"
"0.13075000000000003","504.6212558046259","1579.8862242761868","4243.337539649306","5448.62564541997","nan","-300.0","sil"
"0.137","504.61516593854196","1580.3243873974802","4241.829565021593","5448.62508156846","nan","-300.0","sil"
"0.14325000000000002","504.60570642416235","1580.7523394938162","4240.39988191325","5448.624461041858","nan","-300.0","sil"
"0.14950000000000002","504.6000195542379","1581.3046881536338","4238.643084442831","5448.623759892861","nan","-300.0","sil"
"0.15575000000000003","504.59255166989635","1581.9148992342873","4236.672732332361","5448.622979398439","nan","-300.0","sil"
"0.162","504.58092381212964","1582.5242735489119","4234.67332570885","5448.622123364891","nan","-300.0","sil"
"0.16825","504.569633354566","1583.1871612192099","4232.39914842524","5448.621167705918","nan","-300.0","sil"
"0.17450000000000002","504.5558499335142","1583.8981623813804","4230.032094087361","5448.620100627879","nan","-300.0","sil"
"0.18075000000000002","504.5428178814813","1584.7313515423252","4227.483526331331","5448.618911056559","nan","-300.0","sil"
"0.18700000000000003","504.52905942129905","1585.6502191968507","4224.603798900624","5448.617588354615","nan","-300.0","sil"
"0.19325000000000003","504.51269447163986","1586.6378693883862","4221.3942917993945","5448.616105217089","nan","-300.0","sil"
"0.1995","504.49592813732573","1587.7322596541878","4217.712552665198","5448.614424152491","nan","-300.0","sil"
