"t","f1","f2","i","vowel","distance","std_to_vowel"
"0.5480937499999999","276.9338795018317","1897.6111589510433","50.850584197454666","non_vocal_i","345.67557590388867","205.9036321314839"
"0.55434375","324.6187207883143","2143.111016404823","55.66801135355243","non_vocal_i","543.490592071186","205.9036321314839"
"0.56059375","327.61193494033296","2217.782351931948","58.51119481038548","non_vocal_i","615.1687134462923","205.9036321314839"
"0.56684375","330.047573119909","2184.885034996106","59.906021746920736","non_vocal_i","579.8357583308739","205.9036321314839"
"0.57309375","326.81791031101824","2131.221372735141","60.3432349637649","non_vocal_i","529.4017588787997","205.9036321314839"
"0.5793437499999999","327.9975815590118","2221.129745219473","60.30868097604634","non_vocal_i","618.1304601151384","205.9036321314839"
"0.58559375","341.1687812245354","2330.767561110832","60.23889606235307","non_vocal_i","714.5970763409737","205.9036321314839"
"0.59184375","342.7324506690287","2265.717412554083","60.433479669241486","non_vocal_i","647.9832583397312","205.9036321314839"
"0.59809375","327.9741961124412","2219.747048324305","60.565604475298876","non_vocal_i","616.771148666541","205.9036321314839"
"0.60434375","322.10709596289576","2018.9085134440652","60.44244089957361","non_vocal_i","421.7997139358465","205.9036321314839"
"0.6105937499999999","323.89166935672114","1857.9488392425617","59.986117438796526","non_vocal_i","259.0554663405176","205.9036321314839"
"0.61684375","318.75247452997104","2022.6063618838152","59.244200276646886","non_vocal_i","428.85218380852126","205.9036321314839"
"0.62309375","306.20956305323733","2227.693511565724","58.20265854639537","non_vocal_i","646.4822449671635","205.9036321314839"
"0.62934375","291.38270199559486","2222.5227940408768","57.330872773564224","non_vocal_i","656.138388499959","205.9036321314839"
"0.63559375","308.41483137800014","2145.287971975038","56.92134366377827","non_vocal_i","561.871437051715","205.9036321314839"
"0.64184375","258.9676083413855","2020.9206618267378","57.327700149883476","non_vocal_i","486.9513499400294","205.9036321314839"
"0.64809375","332.68397491924367","1912.0396451748707","59.294598544849464","non_vocal_i","304.35396671030406","205.9036321314839"
"0.65434375","493.332940232405","1885.986375157248","62.53076417711234","non_vocal_e","267.51653568200186","188.3450241270459"
"0.66059375","474.66498199088437","1882.0371759204054","65.69354929357357","non_vocal_e","282.23529468667994","188.3450241270459"
"0.66684375","444.6481228380785","1932.4716103227047","68.1512508114869","non_vocal_i","337.4517126912292","205.9036321314839"
"0.67309375","455.4258303083791","1955.3162030737444","69.95832017820062","non_vocal_i","371.0740129125695","205.9036321314839"
"0.67934375","469.6283405894409","1985.8442982745892","71.32492863921244","non_vocal_e","391.0790584423072","188.3450241270459"
"0.68559375","474.8321779449325","2023.3016406295906","72.59150906742217","non_vocal_e","423.332563441817","188.3450241270459"
"0.69184375","476.44869399967445","2040.4993949970253","73.72490337275532","non_vocal_e","438.9138017545098","188.3450241270459"
"0.69809375","474.7289573883807","2070.9061228664696","74.58268908171853","non_vocal_e","471.04026623524777","188.3450241270459"
"0.70434375","472.3542816967378","2120.470634920653","74.97828823524861","non_vocal_e","522.9794539810741","188.3450241270459"
"0.71059375","469.6954934056803","2164.519403049635","75.03276596729108","non_vocal_e","569.6870104011136","188.3450241270459"
"0.71684375","464.8639425341248","2188.526203300794","74.82293019923141","non_vocal_e","598.525361523828","188.3450241270459"
"0.72309375","454.02605925902833","2195.431011847388","74.45769367484313","non_vocal_i","609.7890506368625","205.9036321314839"
"0.72934375","424.32980288249144","2200.2069941269347","74.11010177147104","non_vocal_i","584.8687765398721","205.9036321314839"
"0.73559375","388.08123394619577","2233.361284222674","74.27232840574916","non_vocal_i","581.7744976993157","205.9036321314839"
"0.74184375","408.59438183679043","2256.3125207885523","74.868945868573","non_vocal_i","625.2388821557888","205.9036321314839"
"0.74809375","446.7783375534189","2259.169533707757","75.5305482010964","non_vocal_i","666.279850791622","205.9036321314839"
"0.75434375","444.92212961975304","2280.3324770154704","75.89671269633563","non_vocal_i","685.5865861656695","205.9036321314839"
"0.76059375","438.90562796247366","2293.9661965958135","75.71319015429484","non_vocal_i","693.2038040887331","205.9036321314839"
"0.76684375","400.56729723620384","2305.7014693637784","74.95934412217049","non_vocal_i","666.6007461304282","205.9036321314839"
"0.77309375","379.5235564820475","2325.130452148366","74.11356807032264","non_vocal_i","670.6051921209958","205.9036321314839"
"0.77934375","397.0367159065647","2340.113725543708","73.07580324164702","non_vocal_i","697.4824209807186","205.9036321314839"
"0.78559375","410.0532919222115","2349.110669131791","71.49798483050571","non_vocal_i","719.4959405844484","205.9036321314839"
"0.79184375","415.8072216375021","2345.9684300024774","68.99734144743658","non_vocal_i","722.1076311704255","205.9036321314839"
"0.79809375","406.3635110817689","2306.3949827545894","66.99328968171028","non_vocal_i","673.0904733668042","205.9036321314839"
"0.80434375","422.0571479185387","2253.717459559351","65.59475186922268","non_vocal_i","636.1065870083357","205.9036321314839"
"0.81059375","447.4006701631823","2270.3511549567393","64.6076220082053","non_vocal_i","678.0838046503676","205.9036321314839"
"0.81684375","358.39548382510145","2323.492761197499","63.64556834055924","non_vocal_i","690.0955738270746","205.9036321314839"
"0.82309375","337.9181813772399","2314.63599148139","62.98544519433359","non_vocal_i","701.7161065588274","205.9036321314839"
"0.82934375","448.4992752507833","2286.895670663911","62.45069625614372","non_vocal_i","695.7269254451403","205.9036321314839"
"0.83559375","489.03655366689003","2300.2654662281107","61.94622647545168","non_vocal_e","686.0920133183795","188.3450241270459"
"0.84184375","485.82665406101944","2325.9119912258475","61.53387316046259","non_vocal_e","714.948437921987","188.3450241270459"
"0.84809375","464.6281975264235","2339.1243931571025","61.70798783459798","non_vocal_e","749.359296387838","188.3450241270459"
"0.85434375","449.69916732847145","2373.6265766454767","62.12343559364694","non_vocal_i","783.6577235043942","205.9036321314839"
