"t","f1","f2","i","vowel","distance"
"0.274375","849.0195764717719","1362.1761235617134","50.32744620963026","a","180.68259749980018"
"0.28062499999999996","843.7471890859233","1275.205076580625","51.574046855264754","a","233.36514875194746"
"0.286875","833.4526477262784","1222.8248054658065","52.395938980397176","a","275.45087850712105"
"0.29312499999999997","834.8751786162416","1219.504187027173","53.06256060285213","a","280.19402783571775"
"0.299375","832.8794716372176","1217.3540293124886","53.09306876477976","a","280.3484785713782"
"0.305625","809.4745399559349","1214.2592217787367","52.73925390457772","a","260.0383544238474"
"0.31187499999999996","867.1612149913361","1195.6376518804464","52.76861044889407","a","336.34659935753893"
"0.318125","960.8301747747302","1183.4203026598511","53.67953902415123","a","442.2329083615282"
"0.32437499999999997","1011.2575704617609","1115.3067360773423","54.79968679638059","o","519.1676678961956"
"0.330625","1032.1090678893086","1070.3017405010742","56.00623408007338","o","556.7051953587252"
"0.336875","926.8804587391489","1163.7374115954426","57.285690930355884","a","427.9660833903555"
"0.343125","829.2966730550397","1181.099361866833","58.66610937597474","a","313.0203474348558"
"0.349375","823.8022946333557","1159.4613091286833","59.63856584740587","a","329.16402175132157"
"0.35562499999999997","797.4238642847258","1183.9022904901985","60.065735083372736","a","278.34461004117645"
"0.361875","772.6556144673119","1192.3084799982269","60.188740106586025","a","245.17017071573423"
"0.368125","769.7698708884782","1161.1033774920106","60.318098031167914","a","273.4895296431167"
"0.374375","794.2748864361537","1133.490262818006","59.972395301833686","o","320.368510611252"
"0.380625","783.3798799579783","1218.61748948787","59.46086377921226","a","229.58542671675752"
"0.38687499999999997","728.6845297428239","1343.9161849914549","59.26643485446022","a","49.59138099801817"
"0.393125","748.2885616380148","1304.083093299725","59.63459438090158","a","109.0285045849389"
"0.399375","808.271110110792","1153.9565865903364","60.442354840036344","a","319.1375597671048"
"0.405625","879.6778401735623","1105.8553713093768","60.94834290743051","o","378.13657284003153"
"0.411875","885.4778362547086","1113.2892181253874","61.19327909800291","o","391.37041573718835"
"0.41812499999999997","821.1741850157551","1164.389894545061","61.485012387881106","a","321.6073267173433"
"0.424375","792.2172459043793","1252.5842618462846","62.172880101451554","a","204.4560203047439"
"0.430625","788.9431409356919","1297.2356810641597","63.39126180563218","a","156.5304961181813"
"0.436875","819.1341265483941","1315.132093356584","64.25609261917565","a","168.8250694384593"
"0.443125","859.4735691849688","1363.308078866282","64.86686730362145","a","192.2685455175656"
"0.44937499999999997","863.2491762440006","1367.1994214682256","65.40603580118908","a","199.93549517854115"
"0.455625","780.098541417789","1368.7014722701433","66.05417240214089","a","118.28691115424715"
"0.461875","710.8422352635068","1453.2339371199055","66.68624421135772","a","133.56306984972719"
"0.468125","704.9373516624255","1529.713101809979","66.9842600314032","a","204.13735093871935"
"0.474375","703.3314986222365","1531.302030438529","66.86414431026928","a","204.12042652708044"
"0.48062499999999997","783.996613533568","1498.8363151128838","66.68663351661205","a","252.3198261127667"
"0.486875","850.8684765587661","1461.7793605827765","67.82040991033277","a","282.13473460785747"
"0.493125","794.9318534302436","1383.5233556588355","69.30098600308605","a","147.94210655539393"
"0.499375","730.4778328263765","1378.582262795349","70.15999327295593","a","78.54699308804027"
"0.505625","718.2406431945333","1400.8247293758727","70.23434611508617","a","88.55227003672087"
"0.511875","721.4062606236748","1332.3638874284102","70.02239540103267","a","53.86540944191381"
"0.518125","679.6311791568234","1280.8014480606967","70.54680110386245","a","70.08047531616512"
"0.524375","652.4530741531344","1266.8302370571669","70.98421884269739","a","111.22979132338389"
"0.530625","716.0766745511298","1236.5378295214182","71.09007675496876","a","144.3618812763608"
"0.536875","754.1557038006825","1078.8101562897086","70.95651498242046","o","270.24341548146475"
"0.543125","730.924913387431","1053.404468363678","71.12540874283053","o","272.4183129942439"
"0.549375","713.4097621903871","1167.2526542276914","71.50005340069633","a","210.98014420934487"
"0.555625","707.257356360662","1137.0929063994986","71.90604893145132","a","234.9874862078126"
"0.561875","664.5445376582522","1151.5363200337167","72.20104291515722","o","208.68421904906137"
"0.568125","581.580410112022","1290.8614409657666","72.27333402759393","a","158.07125145589646"
"0.574375","525.885562249644","1372.167635489835","72.06270182915986","a","181.45903699354187"
"0.580625","533.0990305837822","1302.3465423918074","71.62125813013238","a","195.06752955809554"
"0.586875","554.9827171179373","1278.689823579266","71.063434998513","a","196.8405618364818"
"0.593125","573.2657146926522","1344.4836322549486","70.5194049996473","a","112.76375558608436"
"0.599375","630.1761020889145","1416.6005790898853","70.12285786949997","a","121.60144075432163"
"0.605625","670.3424275975619","1438.522754145743","69.81472450724647","a","103.35729030153186"
"0.611875","652.453368414392","1394.6888406320743","69.89776180658902","a","77.41243597103312"
"0.618125","619.3873957541789","1397.420377381586","71.20092236492661","a","113.20994538075786"
"0.624375","623.232024504209","1451.9129556448722","74.28737178270525","a","163.85789489401407"
"0.630625","631.4823458429141","1462.2692220675442","78.11517383027585","a","165.9638399779809"
"0.636875","626.9577520444816","1461.284483266631","81.49212680255174","a","169.50369497550025"
"0.6431250000000001","632.0086523322635","1459.3082169093693","84.08711442667509","a","162.47652833045663"
"0.649375","639.3764024129352","1482.8959039777726","85.77892951002933","a","178.6964653181882"
"0.655625","642.8237001209077","1545.944611834047","86.6280398348952","e","222.01598752970176"
"0.661875","644.3849083250045","1616.4050893708136","87.14041000390101","e","153.11671819703201"
"0.668125","644.3831002669103","1645.936205960983","87.45649764014318","e","175.49877672709272"
"0.6743750000000001","644.2574603651937","1630.8410628137965","87.6310520073217","e","160.27799367818955"
