"t","f1","f2","i","vowel","distance","std_to_vowel"
"0.518125","582.1576481988269","1794.1083278509282","52.94261453118639","non_vocal_e","261.44544654895446","188.3450241270459"
"0.524375","582.1645040797209","1856.127255219305","60.179918397100096","non_vocal_e","323.4712297982253","188.3450241270459"
"0.530625","515.5421446655512","1879.1300579170015","66.2280822889808","non_vocal_e","279.8516730817521","188.3450241270459"
"0.536875","461.0979278007339","1909.444431906129","70.8595554358617","non_vocal_e","323.20960486255404","188.3450241270459"
"0.543125","469.27772273700737","1945.3524302057933","73.86869166937667","non_vocal_e","350.9378082259449","188.3450241270459"
"0.549375","474.964307027009","1979.8045101588323","75.44346156141815","non_vocal_e","379.7033038889822","188.3450241270459"
"0.555625","473.08479428172086","2006.207717605219","75.68456382074001","non_vocal_e","407.986024080657","188.3450241270459"
"0.561875","478.1133871988617","2011.6845714578658","75.08779534269362","non_vocal_e","408.434285016163","188.3450241270459"
"0.568125","482.25810985819425","2050.830441183009","74.37840976506074","non_vocal_e","443.4354320819737","188.3450241270459"
"0.574375","480.6886056025319","2093.8549099417432","74.46090127272416","non_vocal_e","488.0294050963703","188.3450241270459"
"0.580625","475.7310155809461","2094.590317028202","74.56841009324813","non_vocal_e","493.722402204415","188.3450241270459"
"0.586875","472.90042491560956","2094.295869597864","74.55630260016682","non_vocal_e","496.25854543941347","188.3450241270459"
"0.593125","473.18318974398994","2098.706703773092","74.30646483664712","non_vocal_e","500.38661478626113","188.3450241270459"
"0.599375","473.0344008119658","2118.50935252456","73.6670630019066","non_vocal_e","520.3380524697534","188.3450241270459"
"0.605625","474.1299750452103","2150.060434238797","72.86090233953912","non_vocal_e","550.7935599507455","188.3450241270459"
"0.611875","473.8242162846132","2162.9010102576744","72.13062712770557","non_vocal_e","563.9398947302202","188.3450241270459"
"0.618125","473.9931357666653","2169.2400697297608","71.41856456521283","non_vocal_e","570.1100347202544","188.3450241270459"
"0.624375","473.2881469752257","2182.43958004041","70.5941654527055","non_vocal_e","584.0145338223432","188.3450241270459"
"0.630625","466.51663126947597","2195.753258126111","69.67955892449687","non_vocal_e","604.0997276137941","188.3450241270459"
"0.636875","456.85394502330814","2231.1961333626623","69.04002053898019","non_vocal_i","648.3820579164164","205.9036321314839"
"0.6431250000000001","448.8321043004269","2246.0779347005127","68.52577575284836","non_vocal_i","655.2420185313856","205.9036321314839"
"0.649375","443.1774043197065","2229.1664238616117","67.90985104428152","non_vocal_i","632.6758077117643","205.9036321314839"
"0.655625","437.8916427529298","2221.0988682856996","66.94533481466905","non_vocal_i","619.3224905690754","205.9036321314839"
"0.661875","436.1683599918423","2208.16524167647","65.67961857307988","non_vocal_i","604.6655811987583","205.9036321314839"
"0.668125","438.87930928651826","2196.3534331096917","64.32133510448794","non_vocal_i","595.5647219266559","205.9036321314839"
"0.6743750000000001","440.724489626255","2149.9256109188364","63.124616654575746","non_vocal_i","550.9820800755374","205.9036321314839"
"0.680625","457.5403318645509","2090.868764873305","62.26423860049955","non_vocal_e","508.1915337659128","188.3450241270459"
"0.686875","489.1171613091514","2114.021130291959","61.69033813996772","non_vocal_e","499.7670697399663","188.3450241270459"
"0.693125","511.24640328549015","2143.7693609981125","61.25774763839665","non_vocal_e","540.195234782802","188.3450241270459"
"0.699375","511.09153824017596","2111.3182571298535","60.74693534348666","non_vocal_e","507.5892658692288","188.3450241270459"
"0.7056250000000001","498.98604538617786","2068.632051628555","60.06752003422075","non_vocal_e","452.7975675139323","188.3450241270459"
"0.711875","468.49593759895333","2021.4051969141074","59.24718157484585","non_vocal_e","427.77236007231295","188.3450241270459"
"0.718125","428.39204041367105","2006.720128872321","58.453792586264825","non_vocal_i","395.44414881643814","205.9036321314839"
"0.724375","408.12508001161797","1879.9824397537607","57.79698749423783","non_vocal_i","248.43949929582465","205.9036321314839"
"0.730625","384.68649599620073","1900.1940043242193","57.437330682842656","non_vocal_i","245.2124798508661","205.9036321314839"
"0.7368750000000001","379.0179337275059","1841.5811775083355","57.37972148380367","i","187.56154023550664","205.9036321314839"
"0.743125","376.5804959950582","1400.7864483725862","57.338889501578784","non_vocal_i","262.30107610190964","205.9036321314839"
"0.749375","265.88251478998075","1108.5531200061432","57.1127559962343","non_vocal_o","247.77273724567164","230.84274631247337"
"0.755625","164.5959646613506","1095.4658918009413","56.631534796277066","non_vocal_o","347.33478218061566","230.84274631247337"
"0.761875","123.87920102942545","1290.1223827128829","55.86746554235919","non_vocal_o","571.3453137129666","230.84274631247337"
"0.7681250000000001","92.61838811185667","1479.0861714748153","54.811651001068874","non_vocal_i","467.96346088288203","205.9036321314839"
"0.774375","133.47817049923447","1555.8201574266927","53.411430873694414","non_vocal_i","350.3696925436268","205.9036321314839"
"0.780625","154.2197239823529","1624.2099393640303","51.75907924869615","non_vocal_i","261.2383571231708","205.9036321314839"
