transcription,tp,tn,fp,fn,wv,
Arete,17,22,19,140,0,
Reloj,1,1,23,214,0,
Cadena,16,2,65,156,1,
Gafas,3,5,26,185,3,
Anillo,5,2,43,189,1,
Pollo,6,15,31,146,1,
Pepino,0,0,0,0,0,
Miedo,7,4,63,350,1,
Odio,17,13,54,135,10,
Jugo,0,0,0,0,0,
Leche,10,3,35,150,9,
Limonada,30,23,35,254,2,
Estudiante,8,13,85,154,8,
Conductor,21,13,52,358,11,
Chef,1,6,23,260,0,
Odontólogo,0,0,0,0,0,
Pintor,3,7,35,215,2,
Familia,5,9,114,162,0,
Papá,0,0,0,0,0,
Hermana,9,19,57,298,0,
Abuela,18,12,77,276,2,
Amiga,7,8,47,136,0,
Novia,11,4,46,240,1,
Esposo,0,0,0,0,0,
Nieta,13,11,51,205,12,
Borrador,7,25,73,155,3,
Cuaderno,6,5,50,240,1,
Maletín,0,0,0,0,0,
Baloncesto,11,14,72,347,1,
Voleibol,0,0,0,0,0,
Gimnasio,5,4,77,194,1,
Droguería,0,0,0,0,0,
Trabajo,8,19,86,280,1,
Cocina,6,6,64,204,0,
Ojo,1,7,52,159,1,
Boca,4,3,49,142,0,
Oreja,23,10,49,239,2,
Cabello,14,5,45,298,9,
Manos,0,4,38,156,0,
Piernas,0,0,0,0,0,
Cinco,11,15,65,210,0,
Seis,2,7,29,181,0,
Ocho,7,3,80,231,4,
Cuadrado,78,8,242,116,60,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,8,4,29,280,1,
Arroz,15,9,35,303,0,
Arepa,4,23,76,300,2,
Naranja,4,27,57,151,0,
Mora,11,6,41,181,0,
Banano,2,3,45,230,0,
Lulo,3,12,67,321,0,
Flaco,4,12,62,202,2,
Abajo,3,19,77,222,2,
Lejos,10,8,29,213,0,
Rápido,0,0,0,0,0,
Lento,19,11,35,154,1,
Menor,32,3,40,144,0,
Día del Niño,0,0,0,0,0,
Halloween,6,3,59,233,2,
Día del Profesor,0,0,0,0,0,
Color,8,23,31,198,4,
Verde,0,7,37,257,0,
Naranja,3,9,57,160,0,
Violeta,10,12,44,255,1,
Negro,20,10,53,238,0,
Blanco,2,10,42,288,0,
Jugar,3,8,58,129,0,
Minuto,22,12,61,308,11,
Día,0,0,0,0,0,
Junio,19,4,80,341,12,
Septiembre,18,30,54,291,0,
Lunes,7,4,38,293,6,
Miércoles,0,0,0,0,0,
Viernes,4,3,31,222,4,
Tarde,10,16,51,183,0,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,23,5,52,180,2,
Pantaloneta,27,6,45,242,0,
WhatsApp,5,11,80,307,0,
Gallina,2,8,89,130,0,
Pato,0,1,29,168,0,
Cerdo,4,14,43,322,0,
León,0,0,0,0,0,
Tigre,8,6,18,125,1,
Caballo,6,7,120,24,1,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,5,18,34,305,1,
Oveja,20,14,45,242,1,
Pájaro,0,0,0,0,0,
Jirafa,3,20,103,318,0,
Caracol,9,10,46,236,0,
Moto,3,8,54,154,1,
Aretes,16,10,27,207,0,
Reloj,5,3,20,129,4,
Gafas,10,11,19,220,2,
Pulsera,12,3,81,348,1,
GLOBAL,796,770,4246,17129,209,0.781352164247417
