transcription,tp,tn,fp,fn,wv,
Arete,8,12,28,150,0,
Reloj,0,1,24,214,0,
Cadena,7,0,74,158,1,
Gafas,2,4,27,186,2,
Anillo,1,0,47,191,1,
Pollo,1,5,36,156,1,
Pepino,0,0,0,0,0,
Miedo,2,1,68,353,0,
Odio,5,7,66,141,3,
Jugo,0,0,0,0,0,
Leche,0,1,45,152,0,
Limonada,16,9,49,268,0,
Estudiante,3,3,90,164,3,
Conductor,8,6,65,365,8,
Chef,0,1,24,265,0,
Odontólogo,0,0,0,0,0,
Pintor,0,2,38,220,0,
Familia,0,2,119,169,0,
Papá,0,0,0,0,0,
Hermana,1,3,65,314,0,
Abuela,3,4,92,284,0,
Amiga,2,1,52,143,0,
Novia,0,2,57,242,0,
Esposo,0,0,0,0,0,
Nieta,1,5,63,211,1,
Borrador,0,3,80,177,0,
Cuaderno,1,1,55,244,0,
Maletín,0,0,0,0,0,
Baloncesto,4,4,79,357,0,
Voleibol,0,0,0,0,0,
Gimnasio,1,0,81,198,1,
Droguería,0,0,0,0,0,
Trabajo,2,5,92,294,0,
Cocina,0,2,70,208,0,
Ojo,1,0,52,166,1,
Boca,2,2,51,143,0,
Oreja,8,3,64,246,0,
Cabello,4,0,55,303,4,
Manos,0,1,38,159,0,
Piernas,0,0,0,0,0,
Cinco,4,4,72,221,0,
Seis,0,2,31,186,0,
Ocho,1,1,86,233,0,
Cuadrado,19,4,301,120,15,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,1,2,36,282,0,
Arroz,3,1,47,311,0,
Arepa,1,4,79,319,0,
Naranja,0,4,61,174,0,
Mora,0,3,52,184,0,
Banano,0,1,47,232,0,
Lulo,0,2,70,331,0,
Flaco,1,2,65,212,1,
Abajo,0,7,80,234,0,
Lejos,3,3,36,218,0,
Rápido,0,0,0,0,0,
Lento,2,5,52,160,1,
Menor,9,1,63,146,0,
Día del Niño,0,0,0,0,0,
Halloween,0,2,65,234,0,
Día del Profesor,0,0,0,0,0,
Color,2,5,37,216,0,
Verde,0,3,37,261,0,
Naranja,0,5,60,164,0,
Violeta,4,2,50,265,0,
Negro,5,3,68,245,0,
Blanco,0,5,44,293,0,
Jugar,1,3,60,134,0,
Minuto,3,4,80,316,1,
Día,0,0,0,0,0,
Junio,7,2,92,343,3,
Septiembre,3,11,69,310,0,
Lunes,2,1,43,296,2,
Miércoles,0,0,0,0,0,
Viernes,2,1,33,224,2,
Tarde,3,5,58,194,0,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,6,1,69,184,0,
Pantaloneta,9,4,63,244,0,
WhatsApp,4,3,81,315,0,
Gallina,0,4,91,134,0,
Pato,0,1,29,168,0,
Cerdo,1,0,46,336,0,
León,0,0,0,0,0,
Tigre,5,3,21,128,1,
Caballo,0,1,126,30,0,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,1,6,38,317,0,
Oveja,12,4,53,252,1,
Pájaro,0,0,0,0,0,
Jirafa,0,3,106,335,0,
Caracol,3,3,52,243,0,
Moto,1,0,56,162,1,
Aretes,5,2,38,215,0,
Reloj,1,1,24,131,1,
Gafas,0,2,29,229,0,
Pulsera,1,1,92,350,0,
GLOBAL,208,227,4834,17672,55,0.779390610697005
