transcription,tp,tn,fp,fn,wv,
Arete,36,116,0,46,1,
Reloj,24,133,0,82,6,
Cadena,67,139,14,19,16,
Gafas,27,162,2,28,8,
Anillo,47,135,1,56,13,
Pollo,37,142,0,19,18,
Pepino,0,0,0,0,0,
Miedo,65,202,5,152,51,
Odio,71,101,0,47,36,
Jugo,0,0,0,0,0,
Leche,40,99,5,54,32,
Limonada,64,125,1,152,16,
Estudiante,93,145,0,22,74,
Conductor,72,194,1,177,23,
Chef,24,185,0,81,0,
Odontólogo,0,0,0,0,0,
Pintor,37,204,1,18,33,
Familia,86,125,33,46,24,
Papá,0,0,0,0,0,
Hermana,66,242,0,75,1,
Abuela,87,248,8,40,21,
Amiga,51,96,3,48,3,
Novia,54,71,3,173,19,
Esposo,0,0,0,0,0,
Nieta,58,91,6,125,39,
Borrador,80,138,0,42,23,
Cuaderno,54,195,2,50,34,
Maletín,0,0,0,0,0,
Baloncesto,82,223,1,138,28,
Voleibol,0,0,0,0,0,
Gimnasio,73,165,9,33,57,
Droguería,0,0,0,0,0,
Trabajo,94,194,0,105,15,
Cocina,56,74,14,136,17,
Ojo,45,156,8,10,2,
Boca,35,87,18,58,1,
Oreja,72,137,0,112,8,
Cabello,58,164,1,139,35,
Manos,38,88,0,72,27,
Piernas,0,0,0,0,0,
Cinco,68,170,8,55,53,
Seis,28,161,3,27,20,
Ocho,77,119,10,115,49,
Cuadrado,300,118,20,6,227,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,33,155,4,129,9,
Arroz,50,173,0,139,0,
Arepa,78,148,2,175,5,
Naranja,52,165,9,13,0,
Mora,52,162,0,25,3,
Banano,45,193,2,40,21,
Lulo,67,254,3,79,28,
Flaco,55,173,11,41,31,
Abajo,80,119,0,122,15,
Lejos,39,106,0,115,5,
Rápido,0,0,0,0,0,
Lento,54,153,0,12,19,
Menor,72,118,0,29,10,
Día del Niño,0,0,0,0,0,
Halloween,62,183,3,53,34,
Día del Profesor,0,0,0,0,0,
Color,39,191,0,30,32,
Verde,37,190,0,74,4,
Naranja,60,117,0,52,0,
Violeta,54,107,0,160,20,
Negro,73,208,0,40,36,
Blanco,42,220,2,78,9,
Jugar,61,106,0,31,21,
Minuto,69,174,14,146,40,
Día,0,0,0,0,0,
Junio,92,194,7,151,77,
Septiembre,72,295,0,26,5,
Lunes,42,167,3,130,37,
Miércoles,0,0,0,0,0,
Viernes,25,107,10,118,17,
Tarde,51,137,10,62,20,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,72,149,3,36,13,
Pantaloneta,71,203,1,45,22,
WhatsApp,83,173,2,145,42,
Gallina,54,80,37,58,35,
Pato,16,86,13,83,14,
Cerdo,47,283,0,53,4,
León,0,0,0,0,0,
Tigre,24,87,2,44,8,
Caballo,116,28,10,3,82,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,38,225,1,98,17,
Oveja,59,191,6,65,5,
Pájaro,0,0,0,0,0,
Jirafa,101,257,5,81,28,
Caracol,55,223,0,23,6,
Moto,55,131,2,31,4,
Aretes,43,142,0,75,0,
Reloj,25,112,0,20,18,
Gafas,29,150,0,81,7,
Pulsera,71,200,22,151,23,
GLOBAL,4681,12179,361,5720,1856,0.453380410618543
