transcription,tp,tn,fp,fn,wv,
Arete,29,41,7,121,0,
Reloj,16,46,8,169,4,
Cadena,40,26,41,132,3,
Gafas,15,35,14,155,5,
Anillo,18,29,30,162,2,
Pollo,16,46,21,115,3,
Pepino,0,0,0,0,0,
Miedo,22,23,48,331,13,
Odio,49,36,22,112,26,
Jugo,0,0,0,0,0,
Leche,28,27,17,126,26,
Limonada,41,36,24,241,5,
Estudiante,31,66,62,101,29,
Conductor,66,44,7,327,19,
Chef,10,50,14,216,0,
Odontólogo,0,0,0,0,0,
Pintor,16,39,22,183,15,
Familia,50,46,69,125,2,
Papá,0,0,0,0,0,
Hermana,36,66,30,251,0,
Abuela,40,52,55,236,7,
Amiga,24,22,30,122,0,
Novia,34,11,23,233,6,
Esposo,0,0,0,0,0,
Nieta,40,25,24,191,27,
Borrador,47,68,33,112,15,
Cuaderno,31,25,25,220,15,
Maletín,0,0,0,0,0,
Baloncesto,43,45,40,316,8,
Voleibol,0,0,0,0,0,
Gimnasio,22,15,60,183,14,
Droguería,0,0,0,0,0,
Trabajo,33,56,61,243,4,
Cocina,35,21,35,189,5,
Ojo,3,51,50,115,2,
Boca,21,12,32,133,0,
Oreja,62,43,10,206,4,
Cabello,33,34,26,269,15,
Manos,8,34,30,126,4,
Piernas,0,0,0,0,0,
Cinco,33,53,43,172,18,
Seis,9,56,22,132,3,
Ocho,42,20,45,214,20,
Cuadrado,160,51,160,73,115,
Rectángulo,0,0,0,0,0,
Perro Caliente,0,0,0,0,0,
Pizza,19,27,18,257,3,
Arroz,48,57,2,255,0,
Arepa,49,51,31,272,2,
Naranja,30,68,31,110,0,
Mora,25,41,27,146,2,
Banano,19,27,28,206,2,
Lulo,24,50,46,283,10,
Flaco,22,31,44,183,15,
Abajo,59,48,21,193,12,
Lejos,22,34,17,187,1,
Rápido,0,0,0,0,0,
Lento,37,64,17,101,7,
Menor,60,51,12,96,5,
Día del Niño,0,0,0,0,0,
Halloween,39,11,26,225,18,
Día del Profesor,0,0,0,0,0,
Color,27,83,12,138,21,
Verde,1,44,36,220,0,
Naranja,22,30,38,139,0,
Violeta,33,31,21,236,6,
Negro,46,41,27,207,19,
Blanco,12,38,32,260,3,
Jugar,31,34,30,103,7,
Minuto,41,30,42,290,20,
Día,0,0,0,0,0,
Junio,36,35,63,310,26,
Septiembre,56,110,16,211,1,
Lunes,20,16,25,281,17,
Miércoles,0,0,0,0,0,
Viernes,5,7,30,218,5,
Tarde,22,28,39,171,0,
Buenos días,0,0,0,0,0,
Pantalón,0,0,0,0,0,
Zapato,57,19,18,166,6,
Pantaloneta,55,56,17,192,8,
WhatsApp,32,61,53,257,7,
Gallina,17,15,74,123,5,
Pato,3,13,26,156,3,
Cerdo,26,51,21,285,2,
León,0,0,0,0,0,
Tigre,13,23,13,108,6,
Caballo,33,15,93,16,15,
Pez,0,0,0,0,0,
Ratón,0,0,0,0,0,
Mico,24,57,15,266,6,
Oveja,37,57,28,199,3,
Pájaro,0,0,0,0,0,
Jirafa,32,110,74,228,0,
Caracol,26,79,29,167,0,
Moto,12,58,45,104,1,
Aretes,34,35,9,182,0,
Reloj,11,22,14,110,8,
Gafas,22,47,7,184,5,
Pulsera,35,37,58,314,4,
GLOBAL,2477,3192,2565,14707,715,0.749051915783968
