name,aer,length
cropped_M_45_1, 88.93109716879097, 224.83482993197268
cropped_M_27_1, 107.38782427630417, 334.45485260770977
cropped_F_74_1, 0.0, 41.89090702947846
cropped_M_63_1, 90.57813393430102, 770.7829478458049
cropped_F_29_1, 111.35135135135134, 114.77170068027215
cropped_M_42_1, 14.782608695652172, 29.702199546485264
cropped_F_34_1, 80.52516411378556, 121.69968253968256
cropped_M_66_1, 89.67485275174548, 259.4237414965986
cropped_F_38_1, 105.41983406400183, 704.4816099773245
cropped_F_56_1, 0.0, 37.23739229024944
cropped_F_63_1, 100.726392251816, 136.84136054421774
cropped_M_01_1, 55.77557755775578, 145.33487528344668
cropped_M_13_1, 30.612244897959183, 40.02548752834467
cropped_F_61_1, 12.745098039215685, 54.36174603174604
cropped_F_52_1, 21.999999999999996, 13.967301587301588
cropped_F_19_1, 100.2385606425884, 312.38845804988694
cropped_M_55_1, 8.510638297872342, 23.510317460317468
cropped_F_33_1, 98.45422816860103, 409.5640362811791
cropped_F_44_1, 96.31548583926086, 488.5171882086169
cropped_F_08_1, 12.371134020618557, 33.43403628117914
cropped_F_66_1, 0.0, 33.32131519274376
cropped_M_47_1, 105.470737913486, 83.8005442176871
cropped_F_54_1, 7.017543859649122, 14.702879818594106
