cropped_F_13_1, (80.76923076923077, 19.908208616780044)
cropped_M_45_1, (87.22025407174766, 224.83482993197268)
cropped_M_74_1, (86.41975308641976, 10.73986394557823)
cropped_F_73_1, (86.45833333333334, 9.824988662131519)
cropped_M_27_1, (105.53396474966588, 334.45485260770977)
cropped_F_60_1, (89.90228013029315, 44.48532879818594)
cropped_F_10_1, (89.99753844854719, 20.66718820861678)
cropped_M_15_1, (98.38709677419355, 26.708321995464853)
cropped_M_71_1, (81.34194121942886, 4.5351473922902495e-05)
cropped_M_70_1, (47.368421052631575, 11.546802721088435)
cropped_F_74_1, (70.3125, 41.89090702947846)
cropped_M_61_1, (54.929577464788736, 22.39299319727891)
cropped_F_40_1, (100.547088706526, 65.42176870748297)
cropped_M_63_1, (100.24176041134064, 770.7829478458049)
cropped_F_29_1, (110.6306306306306, 114.77170068027215)
cropped_M_04_1, (55.47445255474454, 35.23385487528345)
cropped_M_42_1, (79.13043478260869, 29.70219954648526)
cropped_F_30_1, (55.358615004122, 169.26834467120185)
cropped_F_69_1, (68.75, 28.658911564625857)
cropped_M_38_1, (100.0, 45.252040816326534)
cropped_M_30_1, (71.71717171717171, 29.148390022675734)
cropped_F_64_1, (98.14814814814814, 23.094716553287984)
cropped_F_34_1, (80.52516411378556, 121.69968253968256)
cropped_M_66_1, (94.35476861093608, 259.4237414965986)
cropped_F_38_1, (83.6765359724645, 704.4816099773245)
cropped_M_73_1, (53.94736842105263, 24.363038548752833)
cropped_M_06_1, (31.538461538461544, 42.33430839002268)
cropped_F_56_1, (50.43478260869565, 37.23739229024944)
cropped_M_11_1, (83.7090363179361, 4.5351473922902495e-05)
cropped_F_63_1, (102.30024213075062, 136.84136054421774)
cropped_M_01_1, (53.96039603960398, 145.33487528344668)
cropped_F_50_1, (96.11111111111114, 41.05736961451249)
cropped_F_71_1, (70.88607594936708, 28.79140589569161)
cropped_M_13_1, (65.98639455782312, 40.02548752834467)
cropped_F_61_1, (58.82352941176471, 54.36174603174604)
cropped_F_55_1, (92.17391304347827, 19.590068027210883)
cropped_M_05_1, (98.8562706862699, 4.5351473922902495e-05)
cropped_F_52_1, (80.00000000000001, 13.967301587301588)
cropped_F_48_1, (95.23235761856887, 1.0)
cropped_M_28_1, (92.02127659574468, 34.0444671201814)
cropped_F_19_1, (94.76978608397859, 312.38845804988694)
cropped_M_55_1, (19.148936170212767, 23.51031746031746)
cropped_M_68_1, (86.00000000000001, 31.94024943310657)
cropped_F_59_1, (83.13870759287767, 1.0)
cropped_M_41_1, (73.19587628865978, 29.315759637188208)
cropped_F_27_1, (95.71428571428572, 35.79063492063492)
cropped_F_33_1, (82.48400777829887, 409.5640362811791)
cropped_F_44_1, (84.92027960456859, 488.5171882086169)
cropped_F_08_1, (91.75257731958762, 33.43403628117914)
cropped_F_66_1, (67.64705882352942, 33.32131519274376)
cropped_M_72_1, (92.43741010784287, 4.5351473922902495e-05)
cropped_F_47_1, (82.18647755853077, 1.0)
cropped_M_67_1, (88.24186366733957, 4.5351473922902495e-05)
cropped_M_47_1, (106.48854961832063, 83.8005442176871)
cropped_F_54_1, (7.017543859649122, 14.702879818594106)
cropped_F_70_1, (100.10527582326068, 4.5351473922902495e-05)
cropped_M_19_1, (55.29110216038081, 178.33759637188226)
cropped_M_21_1, (55.04587155963303, 31.85297052154194)
TOTAL_RESULTS, 78.77176702610937
